Word,Definition,Part of Speech,Etymology,Chapter,Concept,Tags
Fellchaser,"a long-forgotten mistake from your past that could reappear at any time and rip your life apart, like a boomerang you tossed away years ago that's only just now looping back around, which you'd have no idea how to handle because you have no idea what it is.",n.,"Fromfell, to cause to fall by delivering a blow +molechaser, a low swooping throw of a boomerang.",Boats Against the Current,Anemoia,Time-Memory; Fear-Anxiety; Secrets-Mystery
Enterhood,"set of living people who have known you all your life, all the way back to your infancy, before you had a clue who you were; a group that slowly shrinks as you get older, until the point when all of your closest confidants have only ever seen an abridged version of you, having joined your story somewhere in the middle of things, just as you did.",n.,Fromenter+entire+hood.,Boats Against the Current,Zenosyne,Connection-Relation; Time-Memory; Familiar-Unfamiliar
Amentalio,"sadness of realizing that you're already forgetting sense memories of the departed—already struggling to hear their voice, picture the exact shade of their eyes, or call to mind the quirky little gestures you once knew by heart.",n.,"Greek αμήν (amḗn), amen + μενταλιό (mentalió), locket. Pronounced ""ah-men-tal-yoh.""",Boats Against the Current,Olēka,Time-Memory; Sadness-Displeasure; Secrets-Mystery
Hiddled,feeling the loneliness of having to keep a secret to yourself.,adj.,"Old Englishhidil, hiding place. Pronounced ""hid-ld.""",The Interior Wilderness,Anoscetia,Secrets-Mystery; Loneliness-Detachment
Grayshift,"tendency for future goals and benchmarks to feel huge when viewed in advance, only to fade into banality as soon as you've achieved them—finally reaching the top of the ladder, only to notice it circling back around like a hamster wheel.",n.,"A variation onredshiftandblueshift, the astronomical processes that make objects moving away look redder than they really are, and objects moving toward you look bluer.",Roll the Bones,Witherwill,Time-Memory; Senses-Perception; Fact-Fiction
Echthesia,"a state of confusion when your own internal sense of time doesn't seem to match that of the calendar—knowing that something just happened though it apparently took place seven years ago, or that you somehow built up a decade of memories in the span of only a year and a half.",n.,"Greek εχθές (echthés), yesterday +αἴσθησις(aísthēsis), sensation. Pronounced ""ek-thee-zhuh.""",Boats Against the Current,Avenoir,Complexity-Confusion; Time-Memory
Povism,"frustration of being stuck inside your own head, unable to see your face or read your body language in context, only ever guessing how you might be coming across—which makes you think of yourself as a detached observer squinting out at a lushly painted landscape, though to everyone else you seem woven right into the canvas.",n.,"Frompoint of view+ism. Blessed are the slugs, whose eyes are held aloft on wriggling stalks, just tall enough to see their entire bodies in context. Pronounced ""poh-viz-uhm.""",The Interior Wilderness,Anoscetia,Identity-Personality; Complexity-Confusion
Anthrodynia,"a state of exhaustion with how cruel people can be, freely undercutting each other in ways that seem petty and gratuitous—which can sometimes trigger a countervailing sense of gratitude for things that are kind, sincere, forgiving, or unabashedly joyful.",n.,"Ancient Greek ἄνθρωπος (ánthrōpos), humanity + ὀδύνη (odúnē), sorrow, anguish, pain. Pronounced ""an-thruh-din-ee-uh.""",Faces in a Crowd,Silience,Satisfaction-Pleasure; Sadness-Displeasure; Push-Pull
Burn Upon Reentry,"bitter disappointment upon finding no new messages after spending hours out of contact, as if the world had barely even noticed you had left.",n.,From the tendency of spacefaring objects to heat up upon reentering the atmosphere.,Faces in a Crowd,Lumus,Sadness-Displeasure; Connection-Relation; Time-Memory
Rasque,"a moment you instantly wish you could take back, feeling a pulse of dread right after crossing the point of no return—a blurted confession, a hurled insult, a final decision you'd been waffling over for months— wanting to take just one step backward in time, reverting to the way things used to be, in the halcyon days of just a minute ago.",n.,"Fromrue, to regret +bourrasque, a tempest. Pronounced ""rask.""",Boats Against the Current,Kenopsia,Time-Memory; Struggle-Conflict; Desire-Longing
